DistrictID,GovtDistrictCode,DistrictName,ProvinceCode,Population,PopulationYear,PopulationSource,AreaKMSQ,LastModified
14,0101,NYARUGENGE,01,236990,2002,National Census,134.58575,
28,0102,GASABO,01,318569,2002,National Census,431.24116,
3,0103,KICUKIRO,01,204962,2002,National Census,167.49509,
23,0201,NYANZA,02,176456,2002,National Census,675.31809,
20,0202,GISAGARA,02,266424,2002,National Census,682.40647,
30,0203,NYARUGURU,02,233815,2002,National Census,1014.97303,
19,0204,HUYE,02,264295,2002,National Census,584.2653,
5,0205,NYAMAGABE,02,284852,2002,National Census,1095.42944,
24,0206,RUHANGO,02,210000,2002,National Census,629.7383,
25,0207,MUHANGA,02,340369,2002,National Census,650.77524,
26,0208,KAMONYI,02,292772,2002,National Census,658.63932,
4,0301,KARONGI,03,265487,2002,National Census,997.62607,
13,0302,RUTSIRO,03,269434,2002,National Census,1162.61904,
10,0303,RUBAVU,03,287579,2002,National Census,390.13064,
9,0304,NYABIHU,03,268367,2002,National Census,533.98268,
12,0305,NGORORERO,03,282249,2002,National Census,682.16991,
6,0306,RUSIZI,03,331950,2002,National Census,962.87512,
18,0307,NYAMASHEKE,03,325032,2002,National Census,1179.29698,
29,0401,RULINDO,04,278310,2002,National Census,569.67732,
11,0402,GAKENKE,04,322043,2002,National Census,707.39447,
2,0403,MUSANZE,04,299683,2002,National Census,532.87546,
1,0404,BURERA,04,324653,2002,National Census,647.62257,
27,0405,GICUMBI,04,362668,2002,National Census,833.47664,
21,0501,RWAMAGANA,05,209423,2002,National Census,685.17208,
7,0502,NYAGATARE,05,255104,2002,National Census,1931.04889,
8,0503,GATSIBO,05,240566,2002,National Census,1718.49157,
22,0504,KAYONZA,05,220802,2002,National Census,1813.20916,
15,0505,KIREHE,05,229468,2002,National Census,1190.28097,
17,0506,NGOMA,05,232165,2002,National Census,871.8008,
16,0507,BUGESERA,05,266775,2002,National Census,1296.66835,
